,refCount,postCount,changeCount,commitCount,smellCount,hasSmell,LOC,Nesting,WMC,DIT,NOC,CBO,RFC,LCOM,ADD,ADDING_ATTRIBUTE_MODIFIABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,ADDITIONAL_CLASS,ADDITIONAL_FUNCTIONALITY,ADDITIONAL_OBJECT_STATE,ALTERNATIVE_PART_DELETE,ALTERNATIVE_PART_INSERT,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,CLASS_RENAMING,COMMENT_DELETE,COMMENT_INSERT,COMMENT_MOVE,COMMENT_UPDATE,CONDITION_EXPRESSION_CHANGE,DECREASING_ACCESSIBILITY_CHANGE,DELETE,DOC_DELETE,DOC_INSERT,DOC_UPDATE,METHOD_RENAMING,MODIFY,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,PARENT_INTERFACE_CHANGE,PARENT_INTERFACE_DELETE,PARENT_INTERFACE_INSERT,REMOVED_CLASS,REMOVED_FUNCTIONALITY,REMOVED_OBJECT_STATE,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,UNCLASSIFIED_CHANGE,ForwardEngineering,ReEngineering,CorrectiveEngineering,Management,usageCount,refDensity,postDensity
refCount,1,0.989295824585872,0.447758758514515,0.470852238363819,0.21586766217554,0.215967985415776,0.464975974843133,0.357180368524256,0.528599666955174,0.0145418876751937,0.195115478362802,0.482670607496115,0.425323143484942,0.401491188709996,-0.22443838152443,0.142270411929539,0.00465830167693043,0.0829370388983523,0.14699354719984,0.33949261101064,0.251946419652301,0.354898365008289,0.284846293390589,0.210207803830842,0.164680717426899,0.0476605873984636,0.32632643140996,0.324770957287244,0.264921092774145,0.236901447685113,0.318506474405064,0.231882995669782,0.255524295487114,0.225129492168178,0.144883266972611,0.345733855222796,0.250061471786629,0.481444081227859,0.245605126462196,0.21582273151611,0.115933444714465,0.154082174749774,0.179151129590557,0.0372332941681121,0.0540920396406777,0.0861751271633399,0.0997210207886243,0.0819636696387762,0.0974232114375661,0.239275568448599,0.458714262499644,0.328712911366984,0.150005596254394,-0.00100894357108095,0.1079350583309,0.113712634678438,0.209993113346117,0.148584345789739,0.397834219481854,0.38684347078476,0.27133391754514,0.390211618700563,0.389526917371136,0.125414309824716,0.407336685118499,0.420496814749862,0.453230100996351,0.438834176596036,0.641045379650671,0.432481785667567,0.345891724942079
postCount,0.989295824585872,1,0.421966833201911,0.444473831255393,0.21313690185378,0.213162735194006,0.435752401830731,0.334086336046173,0.501401360033564,0.0297502890598226,0.208839677954079,0.459254440371088,0.412976009229249,0.375076731103875,-0.23477325248541,0.127923484520218,-0.00253366175326328,0.0808538538072668,0.1231597969837,0.315723313109035,0.234259901749533,0.336553143590831,0.267729946753638,0.189362510645019,0.155050660106906,0.0369669806014434,0.302497145903736,0.305981505532089,0.24649796177324,0.224642594588113,0.30125244862671,0.21363832640025,0.264136503359984,0.207742726883468,0.129594298651994,0.318350390881502,0.23128768975337,0.455382970790165,0.223277468676063,0.195928888131721,0.0992195624439227,0.139388431755856,0.169242013642749,0.0200461972394932,0.0577243747366369,0.0766685835467384,0.105961593101497,0.0777068557984909,0.0929198202424794,0.217584669178578,0.435195002857761,0.309434610411421,0.13894176668569,-0.00593605707508786,0.109647984711812,0.101538950958028,0.196487179411372,0.133133082305555,0.373670005262406,0.363167314194417,0.256271185082797,0.370643555207883,0.366903347767794,0.108186572334846,0.384656346563037,0.395033954227417,0.42738229973551,0.413292004823467,0.618742072426343,0.441533789481905,0.37808801224453
changeCount,0.447758758514515,0.421966833201911,1,0.936112235763153,0.311729905542625,0.311266911525445,0.788103123893071,0.613760927173876,0.74202097571718,-0.0595000132194676,-0.0111007481151494,0.72455351925241,0.453991019242544,0.642705875635032,0.0335879482121233,0.33286102721309,0.168485624125657,0.148554347256645,0.426688713645463,0.711434441832202,0.703713512476034,0.689245541494127,0.646946844021886,0.586646999287027,0.423332142392477,0.186055893977793,0.717766523803623,0.700394678707298,0.534184553126303,0.462339125163465,0.724698712210365,0.498452889590767,0.0137423787843155,0.577777696678999,0.411144379988874,0.761589225097123,0.5953602593372,0.938774576279492,0.64959803604184,0.585440362562935,0.282915225450015,0.446354675036151,0.350590220109591,0.117011769915631,0.156385195936,0.14363372314843,0.129056093491286,0.118575403265029,0.130833195891536,0.515948895639637,0.85387718298511,0.832313802445417,0.287934916145737,0.0161334940169009,0.164816635641831,0.377517262485346,0.346273736566646,0.281490724638866,0.910244345760464,0.882197762461324,0.631168008541172,0.794464095886543,0.865820237393004,0.393570958755338,0.933301880921423,0.972979543594309,0.929729968662174,0.989256933457337,0.295833436802444,0.199819200380872,0.131456732493716
commitCount,0.470852238363819,0.444473831255393,0.936112235763153,1,0.313409232704096,0.313009323547049,0.746084832827147,0.560995094514244,0.698492934358704,-0.0210560028431624,0.0384892258273499,0.705326952187672,0.477558903218724,0.638754995663294,0.0724810388783962,0.287136773370781,0.155504184754272,0.14241353486189,0.380210698017554,0.655293378278405,0.636425115890555,0.624620015720875,0.565334206641381,0.560592559981085,0.385291724999539,0.1600347845903,0.657401976316723,0.619936833826097,0.49640048657451,0.42543770890383,0.656334703243914,0.471644847767244,0.0174853621632247,0.554013490107042,0.366032840998983,0.737841180497422,0.556463568980183,0.996052494343168,0.604075591286396,0.529671672402685,0.267840895235661,0.42389093207046,0.331078274218056,0.0961467148113931,0.125432315812055,0.139742647485335,0.138833851359269,0.0831794066429624,0.116066859836863,0.495091159137229,0.822684102719778,0.78147300680597,0.277285331805739,-0.0261743039015607,0.160100727882484,0.357597141527701,0.31719204308777,0.271170659613831,0.807447931768669,0.772908071428266,0.560909064267163,0.712950890240075,0.794084772769366,0.348053462701645,0.883928605339384,0.912411300512019,0.893170241531965,0.93650065647851,0.34142032712198,0.169130834726061,0.0974679915429693
smellCount,0.21586766217554,0.21313690185378,0.311729905542625,0.313409232704096,1,0.999541233661185,0.328206468874547,0.268693380389654,0.32726197499748,0.0778951872399697,0.0419277051980676,0.302979305298922,0.260015880176227,0.265611830257615,-0.00427978093092605,0.137005018325289,0.0489519353027572,0.0451875301751223,0.153675346913652,0.236632007875293,0.217739649416164,0.339544459103467,0.277436302719478,0.190722439028015,0.114858446017265,0.0507630908481094,0.299594007514394,0.291490123123867,0.264854288510251,0.235122998469464,0.309551400334395,0.210736336484148,0.0242566071364786,0.182836946939447,0.148359744653781,0.235238217042499,0.258704725969712,0.314208047662534,0.214283134657219,0.205723071161189,0.13820845844444,0.117433332946913,0.112078198058302,0.0246789415306203,0.117573830909134,0.026338022518108,0.056517666501766,0.000367102328634304,0.0293655007070338,0.17420452616644,0.28027784773273,0.271814088722952,0.173216919801165,0.00927360990697075,0.0392491032775461,0.123387530525363,0.146716208180112,0.119473525535047,0.326220739311757,0.285573355431125,0.3094184187042,0.311377773533492,0.297407799752601,0.133135214340761,0.299708007515911,0.297511892136439,0.314467071883436,0.303106718061327,0.138078070358021,0.100758204709733,0.0763239842549965
hasSmell,0.215967985415776,0.213162735194006,0.311266911525445,0.313009323547049,0.999541233661185,1,0.327665589069753,0.267635002461422,0.326538664160992,0.0769248351827116,0.0426670889781437,0.301836377835677,0.259194581635972,0.265068724190559,-0.00563658623090749,0.13868662063258,0.0496900563018567,0.0457252940520591,0.155363461430615,0.236794167962326,0.217758342792705,0.338588923798486,0.277034450410654,0.191877122091101,0.111970867722862,0.0514046909689198,0.299799341071595,0.291355055904851,0.264599128692489,0.235805772806759,0.309344639470347,0.212174921208974,0.024410303051624,0.183492227994264,0.150078934063283,0.235368779968308,0.260326092467872,0.313796246090311,0.215270434147897,0.207041612266619,0.139511490535733,0.117847215612944,0.113478660506582,0.0250299901075954,0.11853002904383,0.0268045231267565,0.0571001383682871,0.00108189191090086,0.0299292878364902,0.174265491182826,0.279910182380839,0.271822106931494,0.17471641940022,0.00949170169093401,0.0398075886078093,0.124849001522314,0.148206483821234,0.120656403448557,0.325508086023016,0.285323582953627,0.309957280565668,0.310444839306832,0.297097354324586,0.133220422229574,0.300004221674502,0.297185018455473,0.313793224135842,0.302830447843766,0.13735747263318,0.101388594911667,0.0767254968897525
LOC,0.464975974843133,0.435752401830731,0.788103123893071,0.746084832827147,0.328206468874547,0.327665589069753,1,0.784403673001272,0.896625879297087,-0.0143225458390508,-0.0776886135661701,0.864004149009484,0.604990203366833,0.727755420747008,0.00200397045217582,0.27310433149153,0.118019254875143,0.108282295951728,0.355626480229964,0.527596309733152,0.503815526313891,0.634786661601721,0.516139595293287,0.469696686890079,0.348169976639456,0.17427201433861,0.606098789818163,0.550414693701511,0.476991237028024,0.388827929736432,0.651302405318634,0.402521026666116,0.0136623388964946,0.436841444410143,0.317638195262557,0.543990605331438,0.510881915427436,0.749472213413647,0.519078043227399,0.458121916178413,0.212176603702394,0.34577429597412,0.288951861522569,0.0906329750153117,0.112677134560167,0.132945404332047,0.123906370369423,0.0923503900946838,0.0663671827520868,0.462152614151912,0.717280116074404,0.664696422278332,0.222567918906079,0.00128372983043639,0.128536420942146,0.303895411846144,0.27462118856888,0.240738193843573,0.780160583920532,0.730261762047326,0.567562335580387,0.699261985963825,0.759020177948825,0.282854848830334,0.726273983309749,0.75812488915382,0.765439381942929,0.76927647864656,0.273901869629748,0.241546387981391,0.16901452832547
Nesting,0.357180368524256,0.334086336046173,0.613760927173876,0.560995094514244,0.268693380389654,0.267635002461422,0.784403673001272,1,0.820340503700049,0.0452980598665033,-0.110154227687495,0.772998053809593,0.501494153311874,0.54648263015539,-0.0202596425288653,0.199191608757845,0.0546796983747679,0.110306788144633,0.260255386848883,0.348409147575151,0.351119916181562,0.545271125840477,0.465121336016831,0.315980324377223,0.287640921107578,0.105030095093918,0.545053328814154,0.484353149399762,0.420217387870032,0.34668794128901,0.565283637123425,0.273295254104,0.0258975682636431,0.289739956143813,0.219143443719721,0.361312219374667,0.385951805728192,0.567652636083961,0.372545073572242,0.328213859594421,0.130959176742558,0.266928293398143,0.1989186434572,0.076827651387194,0.098509192443185,0.120890499974245,0.0918847919827506,0.065519367689254,0.0280060831160789,0.308528073573082,0.530158609568463,0.467330154554852,0.180567526309183,-0.0333348886492703,0.115905967467586,0.207544270592204,0.213420933400305,0.18270470817887,0.656079672215267,0.626702143677198,0.473448526313312,0.613008005914942,0.643291767326995,0.221006674296025,0.549152726127161,0.59406126674054,0.607231833013086,0.597783051334569,0.19806321914854,0.212157741443579,0.158171633673068
WMC,0.528599666955174,0.501401360033564,0.74202097571718,0.698492934358704,0.32726197499748,0.326538664160992,0.896625879297087,0.820340503700049,1,-0.0234566245003376,-0.0229256102058567,0.873587266800704,0.624778904482058,0.652388062099335,-0.0302182056170607,0.25610839491204,0.0971021522656927,0.102569270902568,0.308330728800389,0.514228623481817,0.442352472368196,0.608262508340562,0.49834767516341,0.406341757107523,0.320813674554214,0.120870517954584,0.587345787617741,0.538224923066361,0.453075430389234,0.38014363309862,0.619757979371582,0.359082408935927,0.037943960456908,0.390454339463973,0.290140289512758,0.519054539536512,0.483020720234565,0.705558050508752,0.47284880547784,0.439144419733738,0.219913410652534,0.33867348254792,0.284736218134209,0.0679312114371127,0.108781287512979,0.125266699416347,0.0931799649621048,0.112432682099504,0.0309632715142171,0.373564473793539,0.716275664130672,0.580907465036059,0.222941881297957,-0.000648998759128474,0.12061855904834,0.295910908152949,0.275116068652955,0.233473092943668,0.729205195701173,0.701273635073876,0.522989601992988,0.662191561945537,0.714255968613882,0.271425544226846,0.680035552859463,0.714981016436537,0.722450548767537,0.723328923904479,0.32557294725401,0.265605182468338,0.192691117684087
DIT,0.0145418876751937,0.0297502890598226,-0.0595000132194676,-0.0210560028431624,0.0778951872399697,0.0769248351827116,-0.0143225458390508,0.0452980598665033,-0.0234566245003376,1,0.0540484500244697,0.0842861571751949,0.525513587779437,-0.0668615939142379,-0.143266902618499,-0.00925181333092786,0.021089161286136,0.0355660737891227,-0.0264356572260477,-0.0317291584308391,-0.0540888231434278,0.00161623000648407,0.0161711026375418,-0.0856349648997342,-0.019216695063851,0.0365099751530542,0.024900779760749,0.0233516028008872,0.0440312138603102,0.100624457193206,0.0418566983894636,-0.0652609064349704,0.116639883101486,-0.0704479387452289,-0.0332038143709819,-0.168860693720698,-0.0092462689418285,-0.0129922948637284,-0.0640367851317431,-0.0244828575977577,-0.0357877260963375,-0.0357010617448731,-0.071069393287385,0.057038606411252,0.0445272768621904,-0.0275674867403427,0.0468922370017389,0.0100099434234602,0.00683905861768613,-0.0575350222699874,-0.00952587095593505,-0.096733264937695,-0.00966546024219122,-0.0302540008084591,-0.0135953737435871,-0.0926572707084848,0.0553461502830385,0.0380944956738795,-0.0133689413968751,-0.0216146588957266,0.0267860215014922,0.000595282397958514,0.00495074480424519,-0.00550646956254851,-0.0813481497838808,-0.0917016754359782,-0.00616740367851005,-0.0705650568093484,-0.0318625209144557,0.0660659617145847,0.0811584090962766
