postid	score	favCount	viewcount	link	problem	device	newbie	API change	deprecated	bug	discussion	ask for bug	tutorial	media player	SimpleGLSurfaceView	TextView	Tabactivity, Tabs, Taborder, Actionbar, TabListener	Audio 	DB	Edittext	layout, gridview, linear layout, table layout	Fragment/ListFragment	Intent	Listview	Animation	Service	ArrayAdapter	Button, CheckB0x	AsyncTask	ImageView	SharedPreferences	Location Service	GestureOverlayView	exernal apis, twitter, libgdx, unity3d, ant	Dialog	Webview	write/readFile, upload, download	Spinner, Viewpager (View)	Date Format	ArrayList	MapView	Activity	Bundle	camera, canvas	ohters(telephony manager, in App billing, pending intent, softkeyboard, bluetooth, viewhierarchy, remote)		
2481823	1	0	1571	http://stackoverflow.com/questions/2481823	test relativelayout																1																									exception	android.widget.TextView, android.content.Context, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.accounts.AccountManagerCallback, android.test.AndroidTestCase, android.test.AndroidTestRunner, android.speech.tts.UtteranceProgressListener, 
4968014	0	0	430	http://stackoverflow.com/questions/4968014	media player, playing status									1																																problem	android.view.View, android.util.Log, android.widget.AdapterView, android.media.MediaPlayer, 
5946604	0	0	807	http://stackoverflow.com/questions/5946604	SimpleGLSurfaceView										1																															problem	android.app.Activity, android.os.Bundle, android.util.Log, android.content.Context, android.opengl.GLSurfaceView, android.opengl.EGLConfig, 
6778366	1	0	465	http://stackoverflow.com/questions/6778366	textview											1																														problem	android.widget.TextView, android.widget.ImageView, android.widget.FrameLayout, 
7079221	0	0	410	http://stackoverflow.com/questions/7079221	tabactivity, sql												1																													problem	android.content.res.Resources, android.widget.TabHost, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.util.Log, android.widget.ListView, android.widget.AdapterView, android.database.Cursor, android.widget.SimpleCursorAdapter, android.app.TabActivity, 
7337481	0	0	901	http://stackoverflow.com/questions/7337481	audiomanager													1																												how to	android.app.Activity, android.app.Notification, android.net.Uri, android.app.NotificationManager, 
7505259	0	2	1886	http://stackoverflow.com/questions/7505259	sqlite														1																											problem	android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.content.Context, android.content.ContextWrapper, android.app.Fragment, android.widget.Toast, android.widget.Button, android.os.Environment, 
7855463	1	0	119	http://stackoverflow.com/questions/7855463	edittext															1																										problem	android.widget.ListView, 
8385428	0	0	325	http://stackoverflow.com/questions/8385428	layout list																1																									problem	android.app.Activity, android.os.Bundle, android.widget.ListView, android.widget.EditText, android.os.AsyncTask, 
8558690	0	0	3807	http://stackoverflow.com/questions/8558690	fragment																	1																								exception	android.app.Activity, android.os.Bundle, android.view.ViewGroup, android.view.LayoutInflater, android.app.Fragment, 
8600901	0	0	2370	http://stackoverflow.com/questions/8600901	intent																		1																							how to	android.content.Intent, android.app.Activity, android.os.Bundle, 
9128187	0	0	1526	http://stackoverflow.com/questions/9128187	listview																			1																						problem	android.view.Menu, android.widget.ArrayAdapter, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.util.Log, android.widget.LinearLayout, android.widget.ListView, android.widget.AdapterView, android.widget.ImageView, android.database.sqlite.SQLiteOpenHelper, android.widget.Button, android.widget.RelativeLayout, android.widget.ScrollView, android.widget.TableLayout, android.os.MemoryFile, android.speech.tts.TextToSpeech, android.speech.tts.SynthesisRequest, android.widget.TableRow, 
9820304	0	0	411	http://stackoverflow.com/questions/9820304	animation																				1																					how to	android.os.Bundle, android.view.View, android.view.MotionEvent, android.widget.ImageView, android.widget.Button, android.view.animation.ScaleAnimation, android.view.animation.TranslateAnimation, android.view.animation.AnimationSet, android.view.animation.AccelerateDecelerateInterpolator, 
10238448	1	0	196	http://stackoverflow.com/questions/10238448	service method deprecated				1																	1																				exception	android.content.Intent, android.app.Activity, android.os.Bundle, android.util.Log, android.net.Uri, android.os.Handler, android.app.Service, android.os.Environment, 
11181375	1	0	563	http://stackoverflow.com/questions/11181375	fragments/listfragments																	1																								problem	android.app.Activity, android.os.Bundle, android.widget.TextView, android.content.DialogInterface, android.view.View, android.util.Log, android.content.Context, android.view.ContextThemeWrapper, android.widget.LinearLayout, android.widget.ListView, android.widget.AdapterView, android.app.AlertDialog, android.view.ViewGroup, android.view.LayoutInflater, android.app.ListFragment, android.app.Fragment, android.database.Cursor, android.webkit.WebView, android.widget.SimpleCursorAdapter, android.content.res.Configuration, android.graphics.drawable.ColorDrawable, android.content.CursorLoader, android.content.Loader, android.app.Presentation, android.graphics.Typeface, android.app.LoaderManager, 
11483209	2	0	389	http://stackoverflow.com/questions/11483209	listview, arrayadapter																			1			1																			problem	android.view.ViewGroupOverlay, android.view.ViewOverlay, android.view.Menu, android.widget.ArrayAdapter, android.app.Activity, android.widget.TextView, android.view.View, android.content.Context, android.view.ViewGroup, android.view.LayoutInflater, android.widget.CheckBox, android.widget.EditText, android.widget.ListPopupWindow, android.widget.BaseAdapter, android.widget.BaseExpandableListAdapter, android.widget.CursorTreeAdapter, 
11510354	0	1	989	http://stackoverflow.com/questions/11510354	sqlite, tutorial								1						1																											problem	android.view.Menu, android.app.Activity, android.os.Bundle, android.widget.TextView, android.content.ContentValues, android.util.Log, android.content.Context, android.view.MenuInflater, android.database.Cursor, android.database.sqlite.SQLiteDatabase, android.database.sqlite.SQLiteOpenHelper, android.database.sqlite.SQLiteException, 
12722667	0	0	64	http://stackoverflow.com/questions/12722667	button																							1																		why	android.widget.TextView, android.view.View, android.database.MatrixCursor, android.database.AbstractCursor, android.test.mock.MockResources, android.database.AbstractWindowedCursor, android.test.mock.MockCursor, android.database.MergeCursor, android.database.CursorWrapper, android.view.MenuItem, android.widget.MediaController, android.widget.TabWidget, android.widget.Spinner, android.view.accessibility.AccessibilityNodeInfo, android.widget.TimePicker, android.preference.Preference, android.widget.DatePicker, android.view.accessibility.AccessibilityRecord, android.widget.NumberPicker, android.widget.ZoomButton, android.media.audiofx.AudioEffect, android.widget.CalendarView, android.media.audiofx.Visualizer, 
13104293	0	0	126	http://stackoverflow.com/questions/13104293	asynctask																								1																	exception	android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.widget.AdapterView, android.widget.Toast, android.widget.Button, android.widget.EditText, android.app.ProgressDialog, android.os.AsyncTask, 
13135359	2	0	1913	http://stackoverflow.com/questions/13135359	listview sort																			1																						how to	android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.content.Context, android.widget.ListView, android.widget.AdapterView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.Button, android.widget.Spinner, android.app.ProgressDialog, android.os.AsyncTask, 
13276915	0	0	926	http://stackoverflow.com/questions/13276915	imageview																									1																problem	android.app.Activity, android.os.Bundle, android.util.Log, android.view.SurfaceHolder, android.hardware.Camera, android.view.SurfaceView, 
14085692	0	0	908	http://stackoverflow.com/questions/14085692	listview layout																			1																						how to	android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.widget.ListView, android.widget.AdapterView, android.view.KeyEvent, android.view.inputmethod.InputMethodManager, android.widget.EditText, android.text.Editable, android.text.TextWatcher, android.widget.Filter, 
14646478	0	0	190	http://stackoverflow.com/questions/14646478	linear layout																	1																								problem	android.app.Activity, android.os.Bundle, android.view.View, android.view.MotionEvent, android.content.Context, android.widget.LinearLayout, android.graphics.Canvas, android.widget.Toast, android.view.SurfaceHolder, android.graphics.Paint, android.view.GestureDetector, android.view.SurfaceView, 
15227909	0	0	4404	http://stackoverflow.com/questions/15227909	textview, image view											1																														problem	android.widget.TextView, android.view.View, android.content.Context, android.test.mock.MockContext, android.content.ContextWrapper, android.widget.LinearLayout, android.view.ViewGroup, android.view.LayoutInflater, android.view.MenuInflater, android.renderscript.RenderScript, 
15412767	3	3	1879	http://stackoverflow.com/questions/15412767	imageview/listview																			1																						why	android.widget.ArrayAdapter, android.app.Activity, android.view.View, android.util.Log, android.view.ContextThemeWrapper, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.util.SparseLongArray, android.util.SparseIntArray, android.util.SparseArray, android.util.SparseBooleanArray, android.graphics.BitmapFactory, android.graphics.Bitmap, android.util.EventLogTags, android.media.CamcorderProfile, android.os.AsyncTask, 
15517510	-1	0	243	http://stackoverflow.com/questions/15517510	listview select item																			1																						how to	android.widget.ArrayAdapter, android.content.Intent, android.app.Activity, android.os.Bundle, android.widget.TextView, android.view.View, android.content.Context, android.widget.ListView, android.view.ViewGroup, android.view.LayoutInflater, android.widget.ImageView, android.widget.Toast, android.widget.Button, android.app.ProgressDialog, 
16804553	0	0	193	http://stackoverflow.com/questions/16804553	shared preferences																										1															problem	android.content.ContentValues, android.content.Context, android.content.ContextWrapper, android.content.SharedPreferences, android.content.SyncStats, android.content.SyncResult, 
