fqn	smellName	severity
android.content.pm.PackageInfo	Data Class	10
android.content.pm.ApplicationInfo	Data Class	10
android.content.pm.ProviderInfo	Data Class	8
android.content.pm.ServiceInfo	Data Class	7
android.content.pm.PackageStats	Data Class	5
android.content.pm.InstrumentationInfo	Data Class	5
android.media.CamcorderProfile	Data Class	5
android.net.DhcpInfo	Data Class	3
android.net.LocalSocketAddress	Data Class	1
android.net.Credentials	Data Class	1
android.renderscript.Float3	Data Class	5
android.renderscript.Float4	Data Class	4
android.renderscript.Type	Data Class	3
android.renderscript.Int4	Data Class	1
android.graphics.YuvImage	Data Class	1
android.view.ViewStub	Data Class	1
android.hardware.SensorEvent	Data Class	7
android.hardware.Sensor	Data Class	2
android.hardware.TriggerEvent	Data Class	1
android.view.inputmethod.EditorInfo	Data Class	7
android.view.inputmethod.ExtractedText	Data Class	4
android.content.SyncStats	Data Class	3
android.util.DisplayMetrics	Data Class	9
android.mtp.MtpObjectInfo	Data Class	4
android.mtp.MtpStorageInfo	Data Class	1
android.mtp.MtpDeviceInfo	Data Class	1
android.appwidget.AppWidgetProviderInfo	Data Class	7
android.text.TextPaint	Data Class	7
android.webkit.WebResourceResponse	Data Class	1
android.net.wifi.ScanResult	Data Class	5
android.drm.DrmEvent	Data Class	1
android.drm.ProcessedData	Data Class	1
android.drm.DrmRights	Data Class	1
android.speech.tts.SynthesisRequest	Data Class	2
android.bluetooth.BluetoothGattService	Data Class	2
android.bluetooth.BluetoothGattDescriptor	Data Class	1
android.gesture.GesturePoint	Data Class	2
android.hardware.location.GeofenceHardwareRequest	Data Class	2
android.security.KeyPairGeneratorSpec	Data Class	2
android.preference.RingtonePreference	Data Class	1
android.telephony.NeighboringCellInfo	Data Class	1
android.net.nsd.NsdServiceInfo	Data Class	1
android.print.pdf.PrintedPdfDocument	Data Class	1
android.widget.SearchView	God Class	10
android.widget.PopupWindow	God Class	10
android.widget.AbsListView	God Class	10
android.widget.ScrollView	God Class	10
android.widget.ZoomButtonsController	God Class	10
android.widget.ListView	God Class	10
android.widget.ListPopupWindow	God Class	10
android.widget.HorizontalScrollView	God Class	10
android.widget.TextView	God Class	10
android.widget.GridView	God Class	10
android.widget.Switch	God Class	9
android.widget.ExpandableListView	God Class	8
android.widget.MediaController	God Class	7
android.widget.GridLayout	God Class	5
android.widget.Gallery	God Class	5
android.widget.LinearLayout	God Class	5
android.widget.RelativeLayout	God Class	5
android.widget.FrameLayout	God Class	5
android.widget.Spinner	God Class	5
android.widget.VideoView	God Class	4
android.widget.StackView	God Class	4
android.widget.ProgressBar	God Class	4
android.widget.TableRow	God Class	4
android.widget.DatePicker	God Class	4
android.widget.SlidingDrawer	God Class	4
android.widget.TabHost	God Class	3
android.widget.TimePicker	God Class	3
android.widget.AbsSpinner	God Class	3
android.widget.TabWidget	God Class	3
android.widget.CalendarView	God Class	3
android.widget.ImageView	God Class	2
android.app.Instrumentation	God Class	10
android.app.Activity	God Class	10
android.app.WallpaperManager	God Class	7
android.app.Dialog	God Class	6
android.app.ActivityManager	God Class	4
android.view.View	God Class	10
android.view.ViewGroup	God Class	10
android.view.Display	God Class	10
android.view.SurfaceView	God Class	9
android.view.Window	God Class	7
android.view.ViewPropertyAnimator	God Class	7
android.view.FocusFinder	God Class	4
android.media.MediaRecorder	God Class	5
android.media.AudioManager	God Class	4
android.media.RemoteController	God Class	4
android.media.ThumbnailUtils	God Class	4
android.media.RemoteControlClient	God Class	3
android.media.MediaPlayer	God Class	2
android.text.Layout	God Class	7
android.text.Html	God Class	3
android.inputmethodservice.InputMethodService	God Class	10
android.inputmethodservice.KeyboardView	God Class	10
android.renderscript.Element	God Class	10
android.renderscript.Allocation	God Class	9
android.bluetooth.BluetoothGattServer	God Class	8
android.bluetooth.BluetoothGatt	God Class	7
android.graphics.drawable.NinePatchDrawable	God Class	7
android.graphics.drawable.Drawable	God Class	4
android.view.accessibility.AccessibilityEvent	God Class	10
android.graphics.Canvas	God Class	6
android.graphics.Paint	God Class	3
android.graphics.Bitmap	God Class	3
android.view.inputmethod.InputMethodManager	God Class	7
android.view.inputmethod.InputMethodInfo	God Class	5
android.content.IntentFilter	God Class	3
android.content.ContentProvider	God Class	3
android.content.Intent	God Class	3
android.content.ContentResolver	God Class	2
android.appwidget.AppWidgetHostView	God Class	8
android.text.method.BaseMovementMethod	God Class	3
android.text.method.ArrowKeyMovementMethod	God Class	3
android.text.method.LinkMovementMethod	God Class	2
android.transition.Transition	God Class	4
android.transition.TransitionSet	God Class	3
android.animation.ObjectAnimator	God Class	5
android.animation.LayoutTransition	God Class	2
android.preference.PreferenceActivity	God Class	5
android.view.animation.AnimationSet	God Class	4
android.database.sqlite.SQLiteDatabase	God Class	4
android.service.dreams.DreamService	God Class	4
android.text.util.Linkify	God Class	3
android.text.format.DateUtils	God Class	3
android.os.Handler	God Class	2
android.hardware.Camera	God Class	2
android.accessibilityservice.AccessibilityServiceInfo	God Class	2
android.app.DialogFragment	Schizophrenic Class	1
android.app.ListFragment	Schizophrenic Class	1
android.widget.HorizontalScrollView	Schizophrenic Class	4
android.widget.HeaderViewListAdapter	Schizophrenic Class	1
android.widget.Switch	Schizophrenic Class	1
android.net.TrafficStats	Schizophrenic Class	3
android.hardware.usb.UsbDeviceConnection	Schizophrenic Class	3
android.hardware.usb.UsbManager	Schizophrenic Class	3
