kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Abstract Class	android.accessibilityservice.AccessibilityService	286	92	905	120	0	0	220	2	17	3	1	12	266	96	5	6	0	0	1	13	27	6	4	8	0	0	16	14	0	5	6	0	0	5	0	34	0	115	6	0	0	0	0	0	0	0	0	0	0	4	33	81	0	0	0	0	4	0	191	160	76	28	54	3	1103	1193	697	649	32	8.9375
Public Class	android.accessibilityservice.AccessibilityServiceInfo	226	132	621	86	2	1	435	3	85	0	0	29	40	89	5	0	0	0	0	7	6	0	0	6	3	0	0	0	0	0	2	2	0	4	0	82	0	81	0	0	0	3	0	0	0	0	0	0	0	3	64	55	0	0	0	0	0	0	222	54	0	6	16	0	471	817	466	360	109	2.0734
Public Abstract Class	android.accounts.AbstractAccountAuthenticator	157	27	1219	56	0	0	273	2	21	0	0	19	27	90	3	0	0	0	0	22	2	42	42	0	0	0	10	0	0	0	0	2	0	56	10	40	12	53	50	20	4	16	0	0	0	0	0	0	0	0	38	4	0	0	0	0	12	0	352	276	0	34	107	0	568	1177	307	1715	108	1.4537
Public Class	android.accounts.Account	1368	830	52	8	0	0	48	1	11	0	0	5	20	42	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	0	36	67	5	37	4324	0.3164
Public Class	android.accounts.AccountAuthenticatorActivity	1290	1166	92	26	0	0	27	2	6	4	0	4	471	33	4	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	6	30	0	36	76	1	172	43	30.0000
Public Class	android.accounts.AccountAuthenticatorResponse	174	71	78	23	0	0	55	1	13	0	0	7	20	57	3	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	3	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	10	4	0	0	0	0	0	0	14	0	0	0	0	0	34	80	40	95	120	1.4500
Public Class	android.accounts.AccountManager	3023	885	2754	204	0	0	886	2	116	0	1	41	57	97	3	0	0	0	8	73	18	2	0	0	6	0	60	29	2	0	48	0	0	189	0	180	63	201	34	8	6	24	63	0	0	0	0	6	6	15	137	215	0	0	0	15	2	0	694	401	0	26	217	0	1572	3388	381	3225	1484	2.0371
Public Generic Interface	android.accounts.AccountManagerCallback	8514	4963	5	5	0	0	2	0	1	0	6	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	181	47.0387
Public Generic Interface	android.accounts.AccountManagerFuture	1027	651	86	22	0	0	6	0	5	0	3	4	5	0	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	0	17	0	0	0	0	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	147	9	142	276	3.7210
Public Class	android.accounts.AccountsException	3	3	8	8	0	0	13	0	4	0	3	1	42	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	13	0.2308
Public Class	android.accounts.AuthenticatorDescription	13	10	333	39	0	0	80	1	16	0	0	4	23	61	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	6	0	0	34	8	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0	74	66	0	0	0	0	251	789	40	442	49	0.2653
Public Class	android.accounts.AuthenticatorException	75	68	10	10	0	0	14	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	319	0.2351
Public Class	android.accounts.NetworkErrorException	4	2	10	10	0	0	13	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	98	0.0408
Public Interface	android.accounts.OnAccountsUpdateListener	5	4	10	10	0	0	3	0	1	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	2	13	40	0.1250
Public Class	android.accounts.OperationCanceledException	92	88	10	10	0	0	14	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	241	0.3817
